Seq,Task ID,제목,Category,Implementation Status,Requirement Ref,Screen,Route,Page Entry,Depends On,Expected Files,Functional AC,Visual AC,Security/Privacy AC,Verify,Priority,Detail File,Detail File Exists,wave_id
1,PAGE-SCR001,SCR-001 메인 페이지 조립,PAGE_OWNER,IMPLEMENT,"REQ-FUNC-001~010,047~054,064,065,067~069,079; REQ-NF-004,006,023",SCR-001,`/`,`src/app/page.tsx`,"CMP-SCR001-SEARCH-FILTER, CMP-SCR001-DESTINATION-CARD, CMP-SCR001-DEST-DRAWER, CMP-SCR001-SAFETY-DRAWER, CMP-SCR001-RECENT-MATES, CMP-SCR001-ABOUT-TEASER, CMP-GLOBAL-HEADER-FOOTER, DATA-DESTINATIONS, DATA-SAFETY, DATA-REPRESENTATIVE","`src/app/page.tsx`(modify, Next.js starter 콘텐츠 전량 제거)","Section 순서 Hero→국내 6→해외 6→여행 동기 6→국가별 주의사항 6→최근 동행글 3(또는 Empty State)→free_traveler 소개를 정확히 이 순서로 조립; Section별 데이터 출처 = Hero/필터: 클라이언트 상태, 국내·해외 카드: `DATA-DESTINATIONS`, 주의사항 카드: `DATA-SAFETY`, 동행글: `API-MATES-READ`, 소개: `DATA-REPRESENTATIVE`; 최소 콘텐츠 수 국내 6·해외 6·테마 6·안전 6·동행 3 충족; Desktop 3~4열/Mobile 1열 반응형 카드 밀도; Lorem ipsum·""준비 중""·""정보 확인 필요""·내용 없는 Card 금지; 최근 동행글 0건 시 이유+이용 방법+""동행 글 작성하기"" CTA를 갖춘 완성형 Empty State 필수; `API-MATES-READ` 응답 대기 중 최근 동행글 Section은 카드 모양 Skeleton 표시, 로드 실패 시 해당 Section만 재시도 오류로 대체","D-001 코랄 CTA 1개/Section 이하, 12px 카드 radius, Hero 520~560px로 다음 Section 상단 노출, Airbnb 상표 요소·구매/예약/결제 UI 없음","즐겨찾기는 `localStorage`만 사용, 서버 미저장","E2E-PUBLIC-SMOKE, MANUAL-A11Y-CHECK, MANUAL-PERF-CHECK",P0,TASKS/TASK-PAGE-SCR001.md,True,W04
2,PAGE-SCR002,SCR-002 대표 소개 페이지 조립,PAGE_OWNER,IMPLEMENT,REQ-FUNC-057~063; REQ-NF-006,SCR-002,`/about`,`src/app/about/page.tsx`,"CMP-SCR002-HERO-STATS, CMP-SCR002-BIO, CMP-SCR002-TIMELINE, CMP-SCR002-COUNTRY-CHIPS, CMP-SCR002-GALLERY, CMP-SCR002-RECOMMENDED-DEST-CTA, CMP-GLOBAL-HEADER-FOOTER, DATA-REPRESENTATIVE, DATA-DESTINATIONS",`src/app/about/page.tsx`(create),"Section 순서 Profile Hero→여행 지표→소개·철학→Timeline→방문 국가→Gallery→기억에 남는 여행지+CTA를 정확히 이 순서로 조립; 전 Section 데이터 출처 = `DATA-REPRESENTATIVE`(추천 여행지 카드만 `DATA-DESTINATIONS` 교차 참조); 최소 콘텐츠 수 Timeline 6개·방문국가 30개·Gallery 사진 8개·추천 여행지 4개 충족; Desktop 3~4열/Mobile 1열; Lorem ipsum·""준비 중"" 금지, 빈 링크(문의/SNS)는 렌더링 생략(빈 Card 아님); 정적 데이터라 네트워크 Loading 없음, Gallery 이미지 lazy load 중 Placeholder 표시, 참조 여행지 없는 추천 카드는 목록에서만 제외","50+ Trips/30+ Countries 단일 데이터 소스로 홈(SCR-001)과 수치 일치, 사진마다 실제 장소 alt 텍스트",대표 이미지 alt·출처 텍스트만 기록(라이선스 승인 워크플로 없음),"E2E-PUBLIC-SMOKE, MANUAL-A11Y-CHECK",P0,TASKS/TASK-PAGE-SCR002.md,True,W05
3,PAGE-SCR003,SCR-003 통합 여행 준비 페이지 조립,PAGE_OWNER,IMPLEMENT,"REQ-FUNC-011~032,080; REQ-NF-004,017",SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,"CMP-SCR003-TAB-SHELL, CMP-SCR003-FLIGHT-TAB, CMP-SCR003-HOTEL-TAB, CMP-SCR003-MATE-TAB, CMP-GLOBAL-HEADER-FOOTER, API-MATES-WRITE",`src/app/travel-tools/page.tsx`(create),"Section 순서 Intro→탭(항공/숙소/동행)→여행정보 Form→입력 요약·외부 이동→찾기 Tip 3개→동행 작성 또는 로그인 안내·안전 안내를 이 순서로 조립; 세 탭은 각각 `CMP-SCR003-FLIGHT-TAB`/`CMP-SCR003-HOTEL-TAB`/`CMP-SCR003-MATE-TAB`가 소유하며 입력·검증·완료 상태를 서로 완전히 분리; 데이터 출처 = 항공·숙소는 클라이언트 상태만, 동행 작성은 `API-MATES-WRITE`; Tip 3개 실 콘텐츠 필수; Lorem ipsum·""준비 중""·""정보 확인 필요"" 금지; 미인증 상태의 동행 탭은 빈 Form이 아닌 로그인/성인확인 안내 완성형 화면(Unauthorized 상태, `/account` CTA 포함)으로 대체; 외부 이동·제출 오류는 해당 탭 내부에만 표시(다른 탭·Section 영향 없음)","코랄 CTA는 탭별 1개(""보러 가기""/""작성하기""), 비전달 고지 문구 상시 노출","항공·호텔 입력값(국가·지역·날짜)은 서버 DB·로그·URL 쿼리에 전달하지 않고 브라우저 상태로만 유지(`CON-01`,`CON-02`)","E2E-TRAVEL-TOOLS, UNIT-TRAVEL-DATES, UNIT-CONTACT-DETECTION",P0,TASKS/TASK-PAGE-SCR003.md,True,W06
4,PAGE-SCR004,SCR-004 동행 조회 페이지 조립,PAGE_OWNER,IMPLEMENT,"REQ-FUNC-030,033~037,039,040,043; REQ-NF-004,019",SCR-004,`/mates`,`src/app/mates/page.tsx`,"CMP-SCR004-FILTER-LIST, CMP-SCR004-DETAIL-PANEL, CMP-SCR004-APPLICATION, CMP-SCR004-REPORT-BLOCK, CMP-GLOBAL-HEADER-FOOTER, API-MATES-READ, API-MATES-APPLICATIONS, API-MODERATION",`src/app/mates/page.tsx`(create),"Section 순서 Intro(작성 CTA)→Filter·결과 요약→동행글 목록(최대 8개 우선 노출)→상세(Desktop 좌우 분할/Mobile Drawer)→신청 방법 3단계→안전·신고·차단 안내+CTA를 이 순서로 조립; 데이터 출처 = `API-MATES-READ`(목록/상세), `API-MATES-APPLICATIONS`(참가), `API-MODERATION`(신고/차단); Desktop 좌우 분할/Mobile Drawer 반응형 전환; Lorem ipsum·""준비 중"" 금지; 검색 결과 0건 시 필터 초기화+이용 방법+""동행 글 작성하기"" CTA를 갖춘 완성형 Empty State 필수; 목록/상세에 연락처(전화번호·이메일·메신저 ID) 노출 금지; API 응답 대기 중 목록·상세는 Skeleton 표시, 로드 실패 시 해당 Section만 재시도 오류로 대체; 미인증 상태의 참가·신고·차단 시도는 로그인/성인확인 안내 CTA로 대체(설명 없는 비활성 버튼 금지)",모집중/마감 배지는 색상 단독이 아닌 텍스트 라벨 병기,"차단 관계 상호 비노출, RLS로 비공개 요청 데이터 접근 제한","E2E-MATE-AUTH, UNIT-MATE-STATE",P0,TASKS/TASK-PAGE-SCR004.md,True,W07
5,PAGE-SCR005,SCR-005 계정·관리 페이지 조립,PAGE_OWNER,IMPLEMENT,"REQ-FUNC-028,029,036,038,041,042,045,066,077; REQ-NF-018",SCR-005,`/account`,`src/app/account/page.tsx`,"CMP-SCR005-AUTH, CMP-SCR005-PROFILE, CMP-SCR005-MY-ACTIVITY, CMP-SCR005-ADMIN, CMP-GLOBAL-HEADER-FOOTER, API-ACCOUNT, API-ADMIN-SETTINGS, CMP-SCR003-MATE-TAB",`src/app/account/page.tsx`(create),"Guest/Adult Member/Moderator·Admin 중 현재 역할의 Intro→핵심 작업→도움말 또는 다음 행동만 렌더링(역할에 없는 관리 영역 렌더링 금지); Guest=`CMP-SCR005-AUTH`, Member=`CMP-SCR005-PROFILE`+`CMP-SCR005-MY-ACTIVITY`, Admin=`CMP-SCR005-ADMIN`; 데이터 출처 = `API-ACCOUNT`/`API-ADMIN-SETTINGS`; 내 글 수정 Form은 `CMP-SCR003-MATE-TAB` 재사용; Lorem ipsum·""준비 중"" 금지; 내 글/참가 요청/차단 목록 0건 시 각각 완성형 Empty State(이유+이용 방법+CTA); 세션 확인 중에만 전체화면 Loading 허용(D-001 예외), 이후 각 목록은 영역별 Skeleton, 로드 실패는 해당 영역에만 재시도 오류로 대체",역할 전환 시 레이아웃 급격한 재배치 없이 탭/영역만 교체,"정확한 생년월일 미저장(`is_adult`+`adult_verified_at`만), 탈퇴 시 즉시 비식별화","E2E-MATE-AUTH, TEST-RLS-BASIC",P0,TASKS/TASK-PAGE-SCR005.md,True,W08
6,CMP-SCR001-SEARCH-FILTER,SCR-001 검색·필터·탭 로직,COMPONENT,IMPLEMENT,"REQ-FUNC-001,002,003,005,010,067; REQ-NF-004",SCR-001,`/`,-,DATA-DESTINATIONS,`src/app/_components/scr001/SearchFilterBar.tsx`(create),"국내/해외 탭 분기, 국가·도시·계절·테마·기간 AND 필터, 키워드 검색, 빈 결과 시 안내+초기화, 필터 상태 URL query 동기화; 빈 결과 Empty 문구는 ""정보 확인 필요"" 등 모호 표현 금지, 조건 완화 안내 제공","코랄 pill 검색바, 필터 Chip 선택 시 coral-soft 배경",해당 없음,"UNIT-TRAVEL-DATES(날짜 필터 경계), E2E-PUBLIC-SMOKE",P0,TASKS/TASK-CMP-SCR001-SEARCH-FILTER.md,True,W04
7,CMP-SCR001-DESTINATION-CARD,여행지 카드(즐겨찾기 포함),COMPONENT,IMPLEMENT(축소),"REQ-FUNC-007,068; REQ-NF-006",SCR-001,`/`,-,DATA-DESTINATIONS,`src/app/_components/scr001/DestinationCard.tsx`(create),"카드 클릭 시 상세 Drawer 오픈 트리거, 즐겨찾기 토글(중복 방지); 내용 없는 빈 Card 금지","4:3 이미지 `next/image` lazy load, 12px radius, alt는 실제 장소 설명 문장","즐겨찾기는 `localStorage`에만 저장, 서버/DB 미전송",E2E-PUBLIC-SMOKE,P0,TASKS/TASK-CMP-SCR001-DESTINATION-CARD.md,True,W04
8,CMP-SCR001-DEST-DRAWER,여행지 상세 Drawer,COMPONENT,IMPLEMENT,"REQ-FUNC-004,006,009,069",SCR-001,`/`,-,"DATA-DESTINATIONS, CMP-SCR001-SAFETY-DRAWER",`src/app/_components/scr001/DestinationDrawer.tsx`(create),"소개·명소 5+·추천시기·1일/3일 일정·예산·교통·음식 3+·에티켓·출처·수정일 표시, 해외 여행지는 안전정보 Drawer 연결, 하단 관련 여행지 최대 6개, 공유 버튼(Web Share/URL 복사 폴백); 필수 필드 누락 시 게시 데이터 자체가 없어야 함(콘텐츠 게이트 선행, `CI-CONTENT-VALIDATION` 참조)","Drawer `rounded.lg`, `shadow.card`, scrim 50%",해당 없음,E2E-PUBLIC-SMOKE,P0,TASKS/TASK-CMP-SCR001-DEST-DRAWER.md,True,W04
9,CMP-SCR001-SAFETY-DRAWER,국가 안전정보 Drawer,COMPONENT,IMPLEMENT,REQ-FUNC-047~054,SCR-001,`/`,-,DATA-SAFETY,`src/app/_components/scr001/SafetyDrawer.tsx`(create),"8개 카테고리, 출처·확인일·편집자 표시, 외교부 링크(`noopener,noreferrer`), stale 경고(렌더링 시 `verified_at` 기준 7일 계산), 중대 경보 상단 텍스트 라벨, 국가·지역 범위 구분, 긴급연락처, 면책 고지; 색상 단독으로 경보 단계 구분 금지",경고는 `color.warning`/`color.advisory`(코랄 아님) + 텍스트 라벨 병기,해당 없음,E2E-PUBLIC-SMOKE,P0,TASKS/TASK-CMP-SCR001-SAFETY-DRAWER.md,True,W04
10,CMP-SCR001-RECENT-MATES,최근 동행글 미리보기,COMPONENT,IMPLEMENT,(파생 — REQ-FUNC-030 목록 로직 재사용),SCR-001,`/`,-,API-MATES-READ,`src/app/_components/scr001/RecentMatePosts.tsx`(create),"모집중 최신 3건 미리보기(제목·국가·기간·모집중 배지); 0건이면 이유+이용 방법+""동행 글 작성하기"" CTA 완성형 Empty State(빈 Card 금지)",카드 스타일은 `CMP-SCR001-DESTINATION-CARD`와 다른 리스트형으로 반복感 회피,연락처 비노출,E2E-PUBLIC-SMOKE,P1,TASKS/TASK-CMP-SCR001-RECENT-MATES.md,True,W04
